"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Info"
"109","20.020262","0.000000","192.168.1.10","10.0.0.2","SMB2","171","117","127","Read Request Len:32768 Off:10018816"
"110","20.020351","0.000089","10.0.0.2","192.168.1.10","SMB2","32906","32852","128","Read Response[Packet size limited during capture]"
"111","20.060621","0.040270","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6638 Ack=76374 Win=65536 Len=0"
"112","20.060621","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6638 Ack=85134 Win=65536 Len=0"
"113","20.060621","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6638 Ack=92434 Win=65536 Len=0"
"114","20.060621","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6638 Ack=95354 Win=65536 Len=0"
"115","20.060692","0.000071","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6638 Ack=98274 Win=65536 Len=0"
"116","20.060692","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6638 Ack=102654 Win=65536 Len=0"
"117","20.060693","0.000001","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6638 Ack=104846 Win=65536 Len=0"
"118","20.090702","0.030009","192.168.1.10","10.0.0.2","SMB2","171","117","127","Read Request Len:8192 Off:32768"
"119","20.090802","0.000100","10.0.0.2","192.168.1.10","SMB2","8330","8276","128","Read Response[Packet size limited during capture]"
"120","20.130650","0.039848","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6755 Ack=110686 Win=65536 Len=0"
"121","20.130651","0.000001","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6755 Ack=113122 Win=65536 Len=0"
"122","20.987488","0.856837","10.0.0.2","10.0.0.255","BROWSER","243","","128","Local Master Announcement DESKTOP-03BCH1I, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
"123","21.336803","0.349315","10.0.0.2","239.255.255.250","SSDP","179","","4","M-SEARCH * HTTP/1.1 "
"124","23.710733","2.373930","192.168.1.10","10.0.0.2","SMB2","358","304","127","Create Request File: ross\\share[Packet size limited during capture]"
"125","23.710926","0.000193","10.0.0.2","192.168.1.10","SMB2","322","268","128","Create Response File: ross\\share[Packet size limited during capture]"
"126","23.750589","0.039663","192.168.1.10","10.0.0.2","SMB2","162","108","127","GetInfo Request FS_INFO/FileFsFullSizeInformation File: ross\\share"
"127","23.750691","0.000102","10.0.0.2","192.168.1.10","SMB2","162","108","128","GetInfo Response"
"128","23.790395","0.039704","192.168.1.10","10.0.0.2","SMB2","146","92","127","Close Request File: ross\\share"
"129","23.790553","0.000158","10.0.0.2","192.168.1.10","SMB2","182","128","128","Close Response"
