"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Info"
"4184","12.295669","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4185","12.295670","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4186","12.295670","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4187","12.295697","0.000027","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4060878 Win=1016064 Len=0"
"4188","12.295790","0.000093","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4189","12.295790","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4190","12.295790","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4191","12.295791","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4192","12.295791","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4193","12.295791","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4194","12.295792","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4195","12.295792","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4196","12.295813","0.000021","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4072558 Win=1016064 Len=0"
"4197","12.295916","0.000103","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4198","12.295916","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4199","12.295917","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4200","12.295917","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4201","12.295917","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4202","12.295918","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4203","12.295938","0.000020","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4081318 Win=1016064 Len=0"
