"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Identification","Info"
"95","0.001608","0.000000","147.227.17.107","10.0.64.129","TCP","64","0","118","0x0100 (256)","17801  >  80 [SYN] Seq=0 Win=16384 Len=0"
"96","0.001608","0.000000","147.227.17.109","10.0.64.129","TCP","64","0","118","0x0100 (256)","17803  >  80 [SYN] Seq=0 Win=16384 Len=0"
"97","0.001609","0.000000","147.227.17.116","10.0.64.129","TCP","64","0","118","0x0100 (256)","17810  >  80 [SYN] Seq=0 Win=16384 Len=0"
"98","0.001615","0.000005","All-HSRP-routers_d4","Cisco_46:1b:71","ARP","68","","","","10.0.63.129 is at 00:00:0c:07:ac:d4[Packet size limited during capture]"
"99","0.001782","0.000167","200.61.147.1","10.0.64.129","ICMP","78","","245,1","0x40f9 (16633),0xaa40 (43584)","Time-to-live exceeded (Time to live exceeded in transit)[Packet size limited during capture]"
"100","0.001784","0.000001","206.126.36.250","10.0.64.129","TCP","64","0","117","0x0100 (256)","19507  >  80 [SYN] Seq=0 Win=16384 Len=0"
"101","0.001785","0.000001","147.227.17.44","10.0.64.129","TCP","64","0","118","0x0100 (256)","17738  >  80 [SYN] Seq=0 Win=16384 Len=0"
"102","0.001787","0.000001","188.195.4.228","10.0.64.129","TCP","74","0","115","0x37ee (14318)","50460  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM"
"103","0.001789","0.000001","194.74.28.99","10.0.64.129","TCP","64","0","105","0x0100 (256)","19456  >  80 [SYN] Seq=0 Win=16384 Len=0"
"104","0.001791","0.000002","200.80.27.212","10.0.64.129","TCP","64","0","111","0x0100 (256)","19319  >  80 [SYN] Seq=0 Win=16384 Len=0"
"105","0.001792","0.000001","194.74.29.5","10.0.64.129","TCP","64","0","105","0x0100 (256)","19618  >  80 [SYN] Seq=0 Win=16384 Len=0"
"106","0.001794","0.000001","200.80.27.199","10.0.64.129","TCP","64","0","111","0x0100 (256)","19306  >  80 [SYN] Seq=0 Win=16384 Len=0"
"107","0.001796","0.000001","200.80.27.208","10.0.64.129","TCP","64","0","111","0x0100 (256)","19315  >  80 [SYN] Seq=0 Win=16384 Len=0"
"108","0.001798","0.000001","219.99.39.184","10.0.64.129","TCP","64","0","110","0x0100 (256)","21182  >  80 [SYN] Seq=0 Win=16384 Len=0"
"109","0.001873","0.000075","147.227.17.69","10.0.64.129","TCP","64","0","118","0x0100 (256)","17763  >  80 [SYN] Seq=0 Win=16384 Len=0"
"110","0.001875","0.000001","200.80.27.189","10.0.64.129","TCP","64","0","111","0x0100 (256)","19296  >  80 [SYN] Seq=0 Win=16384 Len=0"
"111","0.001876","0.000001","147.227.17.76","10.0.64.129","TCP","64","0","118","0x0100 (256)","17770  >  80 [SYN] Seq=0 Win=16384 Len=0"
"112","0.001878","0.000001","131.171.39.197","10.0.64.129","TCP","64","0","122","0x0100 (256)","20867  >  80 [SYN] Seq=0 Win=16384 Len=0"
"113","0.001880","0.000001","147.227.17.171","10.0.64.129","TCP","64","0","118","0x0100 (256)","17865  >  80 [SYN] Seq=0 Win=16384 Len=0"
"114","0.002081","0.000201","212.252.19.33","10.0.64.129","TCP","64","0","123","0x0100 (256)","18064  >  80 [SYN] Seq=0 Win=16384 Len=0"
"115","0.002084","0.000003","147.227.17.28","10.0.64.129","TCP","64","0","118","0x0100 (256)","17722  >  80 [SYN] Seq=0 Win=16384 Len=0"
"116","0.002086","0.000002","212.252.19.127","10.0.64.129","TCP","64","0","123","0x0100 (256)","18158  >  80 [SYN] Seq=0 Win=16384 Len=0"
"117","0.002088","0.000001","219.99.39.246","10.0.64.129","TCP","64","0","110","0x0100 (256)","21244  >  80 [SYN] Seq=0 Win=16384 Len=0"
"118","0.002090","0.000001","131.171.39.204","10.0.64.129","TCP","64","0","122","0x0100 (256)","20874  >  80 [SYN] Seq=0 Win=16384 Len=0"
"119","0.002091","0.000001","212.212.4.251","10.0.64.129","TCP","64","0","123","0x0100 (256)","11802  >  80 [SYN] Seq=0 Win=16384 Len=0"
"120","0.002093","0.000001","212.212.4.252","10.0.64.129","TCP","64","0","123","0x0100 (256)","11803  >  80 [SYN] Seq=0 Win=16384 Len=0"
"121","0.002095","0.000001","219.99.39.177","10.0.64.129","TCP","64","0","110","0x0100 (256)","21175  >  80 [SYN] Seq=0 Win=16384 Len=0"
"122","0.002097","0.000002","219.99.39.236","10.0.64.129","TCP","64","0","110","0x0100 (256)","21234  >  80 [SYN] Seq=0 Win=16384 Len=0"
"123","0.002099","0.000001","212.212.5.0","10.0.64.129","TCP","64","0","123","0x0100 (256)","11807  >  80 [SYN] Seq=0 Win=16384 Len=0"
"124","0.002101","0.000001","147.227.17.146","10.0.64.129","TCP","64","0","118","0x0100 (256)","17840  >  80 [SYN] Seq=0 Win=16384 Len=0"
"125","0.002102","0.000001","212.212.5.1","10.0.64.129","TCP","64","0","123","0x0100 (256)","11808  >  80 [SYN] Seq=0 Win=16384 Len=0"
"126","0.002104","0.000001","147.227.17.82","10.0.64.129","TCP","64","0","118","0x0100 (256)","17776  >  80 [SYN] Seq=0 Win=16384 Len=0"
"127","0.002106","0.000001","142.142.28.146","10.0.64.129","TCP","64","0","113","0x0100 (256)","16571  >  80 [SYN] Seq=0 Win=16384 Len=0"
"128","0.002108","0.000001","131.171.40.8","10.0.64.129","TCP","64","0","122","0x0100 (256)","20934  >  80 [SYN] Seq=0 Win=16384 Len=0"
"129","0.002109","0.000001","142.142.28.178","10.0.64.129","TCP","64","0","113","0x0100 (256)","16603  >  80 [SYN] Seq=0 Win=16384 Len=0"
"130","0.002111","0.000001","219.99.40.10","10.0.64.129","TCP","64","0","110","0x0100 (256)","21264  >  80 [SYN] Seq=0 Win=16384 Len=0"
"131","0.002113","0.000001","212.212.4.227","10.0.64.129","TCP","64","0","123","0x0100 (256)","11778  >  80 [SYN] Seq=0 Win=16384 Len=0"
"132","0.002298","0.000184","147.227.17.126","10.0.64.129","TCP","64","0","118","0x0100 (256)","17820  >  80 [SYN] Seq=0 Win=16384 Len=0"
"133","0.002301","0.000003","200.80.27.231","10.0.64.129","TCP","64","0","111","0x0100 (256)","19338  >  80 [SYN] Seq=0 Win=16384 Len=0"
"134","0.002303","0.000001","147.227.17.102","10.0.64.129","TCP","64","0","118","0x0100 (256)","17796  >  80 [SYN] Seq=0 Win=16384 Len=0"
"135","0.002305","0.000001","219.99.39.180","10.0.64.129","TCP","64","0","110","0x0100 (256)","21178  >  80 [SYN] Seq=0 Win=16384 Len=0"
"136","0.002307","0.000002","147.227.17.139","10.0.64.129","TCP","64","0","118","0x0100 (256)","17833  >  80 [SYN] Seq=0 Win=16384 Len=0"
"137","0.002309","0.000001","219.99.39.221","10.0.64.129","TCP","64","0","110","0x0100 (256)","21219  >  80 [SYN] Seq=0 Win=16384 Len=0"
"138","0.002310","0.000001","147.227.17.49","10.0.64.129","TCP","64","0","118","0x0100 (256)","17743  >  80 [SYN] Seq=0 Win=16384 Len=0"
"139","0.002312","0.000001","219.99.40.16","10.0.64.129","TCP","64","0","110","0x0100 (256)","21270  >  80 [SYN] Seq=0 Win=16384 Len=0"
"140","0.002314","0.000001","212.252.19.52","10.0.64.129","TCP","64","0","123","0x0100 (256)","18083  >  80 [SYN] Seq=0 Win=16384 Len=0"
"141","0.002315","0.000001","147.227.17.37","10.0.64.129","TCP","64","0","118","0x0100 (256)","17731  >  80 [SYN] Seq=0 Win=16384 Len=0"
"142","0.002317","0.000001","147.227.17.206","10.0.64.129","TCP","64","0","118","0x0100 (256)","17900  >  80 [SYN] Seq=0 Win=16384 Len=0"
"143","0.002375","0.000057","147.227.17.103","10.0.64.129","TCP","64","0","118","0x0100 (256)","17797  >  80 [SYN] Seq=0 Win=16384 Len=0"
"144","0.002377","0.000001","147.227.17.214","10.0.64.129","TCP","64","0","118","0x0100 (256)","17908  >  80 [SYN] Seq=0 Win=16384 Len=0"
"145","0.002378","0.000001","142.142.28.202","10.0.64.129","TCP","64","0","113","0x0100 (256)","16627  >  80 [SYN] Seq=0 Win=16384 Len=0"
"146","0.002380","0.000001","212.252.19.84","10.0.64.129","TCP","64","0","123","0x0100 (256)","18115  >  80 [SYN] Seq=0 Win=16384 Len=0"
"147","0.002382","0.000001","219.99.39.244","10.0.64.129","TCP","64","0","110","0x0100 (256)","21242  >  80 [SYN] Seq=0 Win=16384 Len=0"
"148","0.002384","0.000001","212.252.19.79","10.0.64.129","TCP","64","0","123","0x0100 (256)","18110  >  80 [SYN] Seq=0 Win=16384 Len=0"
"149","0.002386","0.000001","147.227.17.141","10.0.64.129","TCP","64","0","118","0x0100 (256)","17835  >  80 [SYN] Seq=0 Win=16384 Len=0"
"150","0.002388","0.000002","219.99.39.239","10.0.64.129","TCP","64","0","110","0x0100 (256)","21237  >  80 [SYN] Seq=0 Win=16384 Len=0"
"151","0.002390","0.000002","212.252.19.82","10.0.64.129","TCP","64","0","123","0x0100 (256)","18113  >  80 [SYN] Seq=0 Win=16384 Len=0"
"152","0.002392","0.000001","219.99.39.163","10.0.64.129","TCP","64","0","110","0x0100 (256)","21161  >  80 [SYN] Seq=0 Win=16384 Len=0"
"153","0.002394","0.000002","147.227.17.153","10.0.64.129","TCP","64","0","118","0x0100 (256)","17847  >  80 [SYN] Seq=0 Win=16384 Len=0"
"154","0.002396","0.000002","219.99.39.227","10.0.64.129","TCP","64","0","110","0x0100 (256)","21225  >  80 [SYN] Seq=0 Win=16384 Len=0"
"155","0.002398","0.000001","219.99.39.172","10.0.64.129","TCP","64","0","110","0x0100 (256)","21170  >  80 [SYN] Seq=0 Win=16384 Len=0"
"156","0.002400","0.000002","194.74.28.124","10.0.64.129","TCP","64","0","105","0x0100 (256)","19481  >  80 [SYN] Seq=0 Win=16384 Len=0"
"157","0.002402","0.000002","212.252.18.254","10.0.64.129","TCP","64","0","123","0x0100 (256)","18029  >  80 [SYN] Seq=0 Win=16384 Len=0"
"158","0.002404","0.000002","212.252.18.255","10.0.64.129","TCP","64","0","123","0x0100 (256)","18030  >  80 [SYN] Seq=0 Win=16384 Len=0"
"159","0.002406","0.000002","206.126.37.30","10.0.64.129","TCP","64","0","117","0x0100 (256)","19543  >  80 [SYN] Seq=0 Win=16384 Len=0"
"160","0.002408","0.000001","200.80.28.70","10.0.64.129","TCP","64","0","111","0x0100 (256)","19433  >  80 [SYN] Seq=0 Win=16384 Len=0"
"161","0.002701","0.000293","212.252.19.99","10.0.64.129","TCP","64","0","123","0x0100 (256)","18130  >  80 [SYN] Seq=0 Win=16384 Len=0"
